"Participant","ParticipantGender","ParticipantAge","InterviewTime","Noun","Age","Gender","Education","Group","ItemType","GramGender","Item","Sentence"
65,"female",18,722.67,"individu",6,4,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
67,"female",23,539.78,"individu",4,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
68,"female",22,1150.76,"individu",7,4,1,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
69,"male",23,859.27,"individu",4,4,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
70,"female",26,599.13,"individu",4,1,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
72,"N/A",22,617.36,"individu",6,1,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
73,"female",23,558.71,"individu",3,1,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
74,"female",29,453.76,"individu",4,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
76,"female",20,488.74,"individu",7,1,2,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
77,"male",29,483.71,"individu",4,4,4,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
81,"male",30,842.67,"individu",7,1,6,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
6,"female",19,385.64,"individu",3,3,3,"1","experimental","masculine","personne/individu","Cet individu ne se souvient même plus de son nom."
2,"female",19,2681.81,"depouille",7,7,3,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
3,"N/A",18,992.31,"depouille",6,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
7,"male",19,1154.09,"depouille",6,3,5,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
8,"male",37,892.48,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
9,"female",18,816.55,"depouille",5,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
13,"female",21,497.44,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
15,"male",27,382.12,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
16,"female",19,750.69,"depouille",5,2,3,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
18,"female",25,1068.98,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
19,"N/A",20,1161.86,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
20,"male",20,2558.41,"depouille",6,4,6,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
21,"female",22,843.78,"depouille",7,4,2,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
24,"female",21,528.61,"depouille",5,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
26,"female",22,928.96,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
27,"female",26,381.79,"depouille",5,1,1,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
28,"male",22,427.25,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
29,"female",20,659.42,"depouille",7,1,7,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
30,"female",19,619.32,"depouille",5,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
31,"female",18,536,"depouille",7,1,7,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
34,"female",20,487.27,"depouille",6,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
35,"female",26,1138.58,"depouille",4,3,5,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
36,"N/A",NA,480.71,"depouille",5,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
39,"female",21,446.09,"depouille",7,1,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
40,"female",21,463.05,"depouille",7,7,5,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
41,"male",NA,1038.37,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
42,"male",18,833.13,"depouille",6,2,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
43,"N/A",24,726.77,"depouille",5,4,6,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
49,"female",19,683.57,"depouille",6,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
50,"female",30,436.5,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
51,"female",22,346.04,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
54,"female",19,458.76,"depouille",7,1,5,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
55,"female",18,606.61,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
56,"female",21,1185.48,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
57,"female",25,753.56,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
59,"female",20,670.1,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
60,"male",20,998.68,"depouille",6,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
61,"male",26,3592.14,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
63,"male",21,882.31,"depouille",6,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
65,"female",18,722.67,"depouille",3,4,3,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
67,"female",23,539.78,"depouille",5,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
68,"female",22,1150.76,"depouille",6,2,3,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
69,"male",23,859.27,"depouille",4,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
70,"female",26,599.13,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
72,"N/A",22,617.36,"depouille",7,4,5,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
73,"female",23,558.71,"depouille",7,6,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
74,"female",29,453.76,"depouille",5,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
76,"female",20,488.74,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
77,"male",29,483.71,"depouille",7,4,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
81,"male",30,842.67,"depouille",7,7,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
6,"female",19,385.64,"depouille",5,3,4,"1","experimental","feminine","dépouille/cadavre","La dépouille fut transportée dans un cercueil."
2,"female",19,2681.81,"phenomene",2,2,1,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
3,"N/A",18,992.31,"phenomene",5,5,6,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
7,"male",19,1154.09,"phenomene",6,3,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
8,"male",37,892.48,"phenomene",4,4,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
9,"female",18,816.55,"phenomene",3,3,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
13,"female",21,497.44,"phenomene",3,3,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
15,"male",27,382.12,"phenomene",1,1,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
16,"female",19,750.69,"phenomene",5,2,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
18,"female",25,1068.98,"phenomene",4,3,5,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
19,"N/A",20,1161.86,"phenomene",2,3,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
20,"male",20,2558.41,"phenomene",3,2,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
21,"female",22,843.78,"phenomene",1,1,1,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
24,"female",21,528.61,"phenomene",2,4,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
26,"female",22,928.96,"phenomene",5,3,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
27,"female",26,381.79,"phenomene",7,4,6,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
28,"male",22,427.25,"phenomene",5,4,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
29,"female",20,659.42,"phenomene",4,4,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
30,"female",19,619.32,"phenomene",4,2,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
31,"female",18,536,"phenomene",3,6,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
34,"female",20,487.27,"phenomene",5,4,5,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
35,"female",26,1138.58,"phenomene",5,6,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
36,"N/A",NA,480.71,"phenomene",4,4,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
39,"female",21,446.09,"phenomene",2,7,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
40,"female",21,463.05,"phenomene",2,1,5,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
41,"male",NA,1038.37,"phenomene",4,2,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
42,"male",18,833.13,"phenomene",4,1,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
43,"N/A",24,726.77,"phenomene",5,4,6,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
49,"female",19,683.57,"phenomene",3,3,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
50,"female",30,436.5,"phenomene",4,4,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
51,"female",22,346.04,"phenomene",3,2,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
54,"female",19,458.76,"phenomene",2,2,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
55,"female",18,606.61,"phenomene",3,4,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
56,"female",21,1185.48,"phenomene",4,2,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
57,"female",25,753.56,"phenomene",4,4,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
59,"female",20,670.1,"phenomene",3,3,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
60,"male",20,998.68,"phenomene",3,2,6,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
61,"male",26,3592.14,"phenomene",4,4,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
63,"male",21,882.31,"phenomene",2,3,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
65,"female",18,722.67,"phenomene",3,2,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
67,"female",23,539.78,"phenomene",4,4,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
68,"female",22,1150.76,"phenomene",6,3,6,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
69,"male",23,859.27,"phenomene",3,4,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
70,"female",26,599.13,"phenomene",4,1,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
72,"N/A",22,617.36,"phenomene",2,3,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
73,"female",23,558.71,"phenomene",2,1,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
74,"female",29,453.76,"phenomene",4,3,3,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
76,"female",20,488.74,"phenomene",2,4,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
77,"male",29,483.71,"phenomene",3,3,4,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
81,"male",30,842.67,"phenomene",2,1,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
6,"female",19,385.64,"phenomene",6,3,2,"1","experimental","masculine","bête/phénomène","Avec ses manières, c'est un véritable phénomène de foire"
2,"female",19,2681.81,"personnalite",5,4,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
3,"N/A",18,992.31,"personnalite",5,4,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
7,"male",19,1154.09,"personnalite",7,2,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
8,"male",37,892.48,"personnalite",6,2,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
9,"female",18,816.55,"personnalite",6,4,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
13,"female",21,497.44,"personnalite",5,3,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
15,"male",27,382.12,"personnalite",3,5,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
16,"female",19,750.69,"personnalite",5,2,4,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
18,"female",25,1068.98,"personnalite",6,3,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
19,"N/A",20,1161.86,"personnalite",6,4,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
20,"male",20,2558.41,"personnalite",5,3,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
21,"female",22,843.78,"personnalite",6,3,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
24,"female",21,528.61,"personnalite",5,4,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
26,"female",22,928.96,"personnalite",4,3,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
27,"female",26,381.79,"personnalite",6,1,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
28,"male",22,427.25,"personnalite",6,3,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
29,"female",20,659.42,"personnalite",5,1,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
30,"female",19,619.32,"personnalite",5,2,5,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
31,"female",18,536,"personnalite",7,2,7,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
34,"female",20,487.27,"personnalite",4,4,4,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
35,"female",26,1138.58,"personnalite",6,3,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
36,"N/A",NA,480.71,"personnalite",6,4,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
39,"female",21,446.09,"personnalite",4,4,4,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
40,"female",21,463.05,"personnalite",6,3,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
41,"male",NA,1038.37,"personnalite",6,6,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
42,"male",18,833.13,"personnalite",5,3,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
43,"N/A",24,726.77,"personnalite",4,4,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
49,"female",19,683.57,"personnalite",5,4,6,"1","experimental","feminine","personnalité/personnage","Une personnalité de premier plan du gouvernement s'est exprimée à la radio."
